lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31144,Nafarroa Garaia,Larraun,Larraun,1.002,,,,,,,,,2017-06-18,,"27,3",,"89,33"
31145,Nafarroa Garaia,Elizagorria,Lazagurría,204,,,,,,,,,,,"0,0",,"0,23"
31146,Nafarroa Garaia,Leatxe,Leache,49,,,,,,,,,,,"0,0",,"1,09"
31147,Nafarroa Garaia,Legarda,Legarda,114,,,,,,,,,,,"0,0",,"6,74"
31148,Nafarroa Garaia,Legaria,Legaria,106,,,,,,,,,,,"20,0",,"5,51"
31149,Nafarroa Garaia,Leitza,Leitza,2.906,,,,,,,,,2017-06-18,,"21,8",,"93,04"
31150,Nafarroa Garaia,Leotz,Leoz <> Leotz,253,,,,,,,,,,,"0,0",,"18,90"
31151,Nafarroa Garaia,Lerga,Lerga,65,,,,,,,,,,,"0,0",,"5,00"
31152,Nafarroa Garaia,Lerin,Lerín,1.706,,,,,,,,,,,"0,0",,"3,32"
31153,Nafarroa Garaia,Lesaka,Lesaka,2.742,,,,,,,,,2017-06-18,,"0,0",,"87,01"
31154,Nafarroa Garaia,Lezaun,Lezáun,263,,,,,,,,,,,"0,0",,"13,32"
31155,Nafarroa Garaia,Ledea,Liédena,318,,,,,,,,,,,"0,0",,"5,65"
31156,Nafarroa Garaia,Lizoainibar-Arriasgoiti,Lizoain-Arriasgoiti,317,,,,,,,,,,,"18,9",,"16,59"
31157,Nafarroa Garaia,Lodosa,Lodosa,4.760,,,,,,,,,,,"0,0",,"2,60"
31158,Nafarroa Garaia,Longida,Lónguida <> Longida,318,,,,,,,,,,,"26,4",,"8,51"
31159,Nafarroa Garaia,Irunberri,Lumbier,1.346,,,,,,,,,,,"0,0",,"13,46"
31160,Nafarroa Garaia,Lukin,Luquin,138,,,,,,,,,,,"0,0",,"3,94"
31161,Nafarroa Garaia,Mañeru,Mañeru,436,,,,,,,,,,,"0,0",,"8,33"
31162,Nafarroa Garaia,Marañón,Marañón,51,,,,,,,,,,,"0,0",,"3,73"
31163,Nafarroa Garaia,Martzilla,Marcilla,2.823,,,,,,,,,,,"0,0",,"1,94"
31164,Nafarroa Garaia,Mélida,Mélida,742,,,,,,,,,,,"0,0",,"2,79"
31165,Nafarroa Garaia,Mendabia,Mendavia,3.616,,,,,,,,,,,"0,0",,"2,32"
31166,Nafarroa Garaia,Mendaza,Mendaza,318,,,,,,,,,,,"0,0",,"12,72"
31167,Nafarroa Garaia,Mendigorria,Mendigorría,1.078,,,,,,,,,,,"0,0",,"3,48"
31168,Nafarroa Garaia,Metauten,Metauten,289,,,,,,,,,,,"0,0",,"8,19"
31169,Nafarroa Garaia,Milagro,Milagro,3.366,,,,,,,,,,,"0,0",,"0,38"
31170,Nafarroa Garaia,Mirafuentes,Mirafuentes,54,,,,,,,,,,,"0,0",,"50,91"
31171,Nafarroa Garaia,Miranda Arga,Miranda de Arga,878,,,,,,,,,,,"19,6",,"8,18"
31172,Nafarroa Garaia,Elo,Monreal <> Elo,478,,,,,,,,,,,"26,1",,"6,32"
31173,Nafarroa Garaia,Monteagudo,Monteagudo,1.105,,,,,,,,,,,"0,0",,"0,42"
31174,Nafarroa Garaia,Morentin,Morentin,135,,,,,,,,,,,"0,0",,"7,32"
31175,Nafarroa Garaia,Mues,Mués,81,,,,,,,,,,,"0,0",,"5,05"
31176,Nafarroa Garaia,Murchante,Murchante,3.761,,,,,,,,,,,"24,2",,"0,80"
31177,Nafarroa Garaia,Murieta,Murieta,346,,,,,,,,,,,"0,0",,"4,31"
31178,Nafarroa Garaia,Murillo El Cuende,Murillo el Cuende,653,,,,,,,,,,,"0,0",,"3,21"
31179,Nafarroa Garaia,Murillo El Fruto,Murillo el Fruto,640,,,,,,,,,,,"0,0",,"1,85"
31180,Nafarroa Garaia,Muruzabal,Muruzábal,271,,,,,,,,,,,"0,0",,"4,85"
31181,Nafarroa Garaia,Nabaskoze,Navascués,158,,,,,,,,,,,"0,0",,"10,59"
31182,Nafarroa Garaia,Nazar,Nazar,45,,,,,,,,,,,"0,0",,"13,89"
31183,Nafarroa Garaia,Obanos,Obanos,919,,,,,,,,,,,"18,7",,"10,70"
31184,Nafarroa Garaia,Oko,Oco,66,,,,,,,,,,,"16,2",,"13,13"
31185,Nafarroa Garaia,Otsagabia,Ochagavía <> Otsagabia,584,,,,,,,,,,,"24,7",,"20,52"
31186,Nafarroa Garaia,Odieta,Odieta,364,,,,,,,,,,,"0,0",,"36,98"
31187,Nafarroa Garaia,Oiz,Oitz,140,,,,,,,,,,,"0,0",,"94,16"
31188,Nafarroa Garaia,Olaibar,Oláibar,289,,,,,,,,,,,"17,0",,"20,06"
31189,Nafarroa Garaia,Olatzagutia,Olazti/Olazagutía,1.552,,,,,,,,,2017-06-18,,"17,2",,"33,62"
31190,Nafarroa Garaia,Olexoa,Olejua,52,,,,,,,,,,,"0,0",,"3,64"
31191,Nafarroa Garaia,Erriberri,Olite <> Erriberri,3.886,,,,,,,,,,,"28,6",,"6,20"
31192,Nafarroa Garaia,Oloritz,Olóriz,191,,,,,,,,,,,"19,8",,"15,55"
31193,Nafarroa Garaia,Oltza Zendea,Cendea de Olza <> Oltza zendea,1.806,,,,,,,,,,,"26,8",,"15,49"
31194,Nafarroa Garaia,Ollaran,Ollo,407,,,,,,,,,,,"21,7",,"22,27"
31195,Nafarroa Garaia,Orbaizeta,Orbaizeta,208,,,,,,,,,,,"12,2",,"52,60"
31196,Nafarroa Garaia,Orbara,Orbara,41,,,,,,,,,,,"23,1",,"54,24"
31197,Nafarroa Garaia,Orisoain,Orísoain,94,,,,,,,,,,,"12,8",,"7,47"
31198,Nafarroa Garaia,Orontze,Oronz <> Orontze,46,,,,,,,,,,,"16,3",,"32,73"
31199,Nafarroa Garaia,Orotz-Betelu,Oroz-Betelu <> Orotz-Betelu,156,,,,,,,,,,,"16,4",,"10,48"
31200,Nafarroa Garaia,Oteitza,Oteiza,944,,,,,,,,,,,"15,3",,"12,72"
31201,Nafarroa Garaia,Iruñea,Pamplona/Iruña,196.166,,,,,,,,,,,"9,4",,"14,00"
31202,Nafarroa Garaia,Azkoien,Peralta <> Azkoien,5.889,,,,,,,,,,,"22,4",,"2,23"
31203,Nafarroa Garaia,Petilla Aragoi,Petilla de Aragón,35,,,,,,,,,,,"26,8",,"1,35"
31204,Nafarroa Garaia,Piedramillera,Piedramillera,43,,,,,,,,,,,"25,7",,"5,83"
31205,Nafarroa Garaia,Pitillas,Pitillas,523,,,,,,,,,,,"20,6",,"3,84"
31206,Nafarroa Garaia,Gares,Puente la Reina <> Gares,2.812,,,,,,,,,,,"25,6",,"12,89"
31207,Nafarroa Garaia,Puiu,Pueyo,347,,,,,,,,,,,"16,4",,"12,01"
31208,Nafarroa Garaia,Ribaforada,Ribaforada,3.687,,,,,,,,,,,"26,2",,"1,09"
31209,Nafarroa Garaia,Erromantzatua,Romanzado,166,,,,,,,,,,,"17,6",,"12,18"
31210,Nafarroa Garaia,Erronkari,Roncal <> Erronkari,246,,,,,,,,,,,"16,7",,"14,66"
31211,Nafarroa Garaia,Orreaga,Orreaga/Roncesvalles,33,,,,,,,,,,,"24,4",,"26,00"
31212,Nafarroa Garaia,Zare,Sada,172,,,,,,,,,,,"19,0",,"4,50"
31213,Nafarroa Garaia,Saldias,Saldías,118,,,,,,,,,,,"22,8",,"97,45"
31214,Nafarroa Garaia,Jaitz,Salinas de Oro <> Jaitz,118,,,,,,,,,,,"16,4",,"7,21"
31215,Nafarroa Garaia,San Adrián,San Adrián,6.216,,,,,,,,,,,"12,0",,"2,24"
31216,Nafarroa Garaia,Zangoza,Sangüesa <> Zangoza,5.078,,,,,,,,,,,"18,0",,"9,66"
31217,Nafarroa Garaia,San Martin Unx,San Martín de Unx,414,,,,,,,,,,,"16,4",,"2,84"
31219,Nafarroa Garaia,Santsol,Sansol,104,,,,,,,,,,,"18,3",,"3,21"
31220,Nafarroa Garaia,Santakara,Santacara,895,,,,,,,,,,,"14,9",,"4,95"
31221,Nafarroa Garaia,Doneztebe,Doneztebe/Santesteban,1.644,,,,,,,,,,,"18,0",,"74,69"
31222,Nafarroa Garaia,Sartze,Sarriés <> Sartze,62,,,,,,,,,,,"11,0",,"10,76"
31223,Nafarroa Garaia,Sartaguda,Sartaguda,1.317,,,,,,,,,,,"12,5",,"6,23"
31224,Nafarroa Garaia,Sesma,Sesma,1.201,,,,,,,,,,,"18,3",,"0,54"
31225,Nafarroa Garaia,Sorlada,Sorlada,71,,,,,,,,,,,"15,4",,"1,00"
31226,Nafarroa Garaia,Sunbilla,Sunbilla,650,,,,,,,,,,,"24,7",,"92,16"
31227,Nafarroa Garaia,Tafalla,Tafalla,10.966,,,,,,,,,,,"11,1",,"11,07"
31228,Nafarroa Garaia,Tebas-Muru Artederreta,Tiebas-Muruarte de Reta,633,,,,,,,,,,,"20,8",,"6,55"
31229,Nafarroa Garaia,Tirapu,Tirapu,57,,,,,,,,,,,"21,3",,"13,49"
31230,Nafarroa Garaia,Torralba Del Río,Torralba del Río,120,,,,,,,,,,,"19,3",,"1,69"
31231,Nafarroa Garaia,Torres Del Río,Torres del Río,135,,,,,,,,,,,"8,3",,"1,78"
31232,Nafarroa Garaia,Tutera,Tudela,35.062,,,,,,,,,,,"15,8",,"2,29"
31233,Nafarroa Garaia,Tulebras,Tulebras,125,,,,,,,,,,,"23,0",,"0,71"
31234,Nafarroa Garaia,Ukar,Úcar,191,,,,,,,,,,,"14,8",,"2,82"
31235,Nafarroa Garaia,Uxue,Ujué,198,,,,,,,,,,,"24,1",,"5,04"
31236,Nafarroa Garaia,Ultzama,Ultzama,1.668,,,,,,,,,,,"20,2",,"59,49"
31237,Nafarroa Garaia,Untzitibar,Unciti,229,,,,,,,,,,,"25,0",,"6,77"
31238,Nafarroa Garaia,Untzue,Unzué <> Untzue,127,,,,,,,,,,,"20,7",,"7,04"
31239,Nafarroa Garaia,Urdazubi,Urdazubi/Urdax,392,,,,,,,,,,,"14,3",,"93,42"
31240,Nafarroa Garaia,Urdiain,Urdiain,677,,,,,,,,,2017-06-18,,"19,0",,"84,15"
31241,Nafarroa Garaia,Urraulgoiti,Urraúl Alto,151,,,,,,,,,,,"20,6",,"4,88"
31242,Nafarroa Garaia,Urraulbeiti,Urraúl Bajo,290,,,,,,,,,,,"26,5",,"11,31"
31243,Nafarroa Garaia,Urrotz,Urroz-Villa,398,,,,,,,,,,,"30,4",,"3,11"
31244,Nafarroa Garaia,Urroz,Urrotz,179,,,,,,,,,,,"15,3",,"99,49"
31245,Nafarroa Garaia,Urzainki,Urzainqui <> Urzainki,100,,,,,,,,,,,"17,5",,"11,27"
31246,Nafarroa Garaia,Uterga,Uterga,172,,,,,,,,,,,"18,7",,"6,01"
31247,Nafarroa Garaia,Uztarroze,Uztárroz <> Uztarroze,158,,,,,,,,,,,"21,3",,"13,87"
31248,Nafarroa Garaia,Luzaide,Luzaide / Valcarlos,380,,,,,,,,,,,"20,6",,"73,70"
31249,Nafarroa Garaia,Valtierra,Valtierra,2.467,,,,,,,,,,,"17,2",,"0,96"
31250,Nafarroa Garaia,Bera,Bera,3.760,,,,,,,,,2017-06-18,,"20,9",,"78,75"
31251,Nafarroa Garaia,Viana,Viana,4.084,,,,,,,,,,,"14,8",,"6,57"
31252,Nafarroa Garaia,Bidankoze,Vidángoz <> Bidankoze,96,,,,,,,,,,,"17,1",,"6,67"
31253,Nafarroa Garaia,Bidaurreta,Bidaurreta,160,,,,,,,,,,,"12,6",,"11,22"
31254,Nafarroa Garaia,Alesbes,Villafranca,2.860,,,,,,,,,,,"17,9",,"0,12"
31255,Nafarroa Garaia,Villamayor De Monjardín,Villamayor de Monjardín,130,,,,,,,,,,,"11,9",,"6,02"
31256,Nafarroa Garaia,Hiriberri,Hiriberri/Villanueva de Aezkoa,113,,,,,,,,,,,"12,8",,"56,38"
31257,Nafarroa Garaia,Villatuerta,Villatuerta,1.128,,,,,,,,,,,"23,7",,"8,31"
31258,Nafarroa Garaia,Atarrabia,Villava / Atarrabia,10.211,,,,,,,,,,,"26,7",,"20,76"
31259,Nafarroa Garaia,Igantzi,Igantzi,625,,,,,,,,,2017-06-18,,"16,8",,"92,10"
31260,Nafarroa Garaia,Deierri,Valle de Yerri <> Deierri,1.517,,,,,,,,,,,"19,6",,"13,84"
31261,Nafarroa Garaia,Esa,Yesa,223,,,,,,,,,,,"19,3",,"8,89"
31262,Nafarroa Garaia,Zabaltza,Zabalza <> Zabaltza,295,,,,,,,,,,,"19,0",,"17,32"
31263,Nafarroa Garaia,Zubieta,Zubieta,319,,,,,,,,,,,"24,2",,"98,24"
31264,Nafarroa Garaia,Zugarramurdi,Zugarramurdi,225,,,,,,,,,,,"12,3",,"91,46"
31265,Nafarroa Garaia,Zuñiga,Zúñiga,104,,,,,,,,,,,"22,5",,"27,75"
31901,Nafarroa Garaia,Barañain,Barañáin,20.458,,,,,,,,,,,"20,0",,"15,02"
31902,Nafarroa Garaia,Berriobeiti,Berrioplano <> Berriobeiti,6.444,,,,,,,,,,,"17,8",,"18,00"
31903,Nafarroa Garaia,Berriozar,Berriozar,9.625,,,,,,,,,,,"20,6",,"14,24"
31904,Nafarroa Garaia,Irurtzun,Irurtzun,2.223,,,,,,,,,2017-06-18,,"22,2",,"28,86"
31905,Nafarroa Garaia,Beriain,Beriáin,3.874,,,,,,,,,,,"27,5",,"3,32"
31906,Nafarroa Garaia,Orkoien,Orkoien,3.743,,,,,,,,,,,"11,1",,"12,01"
31907,Nafarroa Garaia,Zizur Nagusia,Zizur Mayor <> Zizur Nagusia,14.253,,,,,,,,,,,"21,6",,"18,38"
31908,Nafarroa Garaia,Lekunberri,Lekunberri,1.469,,,,,,,,,2017-06-18,,"12,8",,"70,77"
39101,Bizkaia,Villaverde Turtzioz,Valle de Villaverde,327,,,,,,,,,,,"26,5",,
48001,Bizkaia,Abadiño,Abadiño,7.504,,,,,,,,,2017-05-07,,"27,0","9,3","64,95"
48002,Bizkaia,Abanto,Abanto y Ciérvana-Abanto Zierbena,9.688,,,,,,,,,,,"29,7","17,5","38,79"
48003,Bizkaia,Zornotza,Amorebieta-Etxano,18.579,,,,,,,,,2017-05-07,,"23,4","11,1","64,31"
48004,Bizkaia,Amoroto,Amoroto,417,,,,,,,,,,,"19,5","6,2","95,30"
48005,Bizkaia,Arakaldo,Arakaldo,144,,,,,,,,,,,"24,6","3,4","58,97"
48006,Bizkaia,Arantzazu,Arantzazu,380,,,,,,,,,,,"15,0","8,1","83,14"
48007,Bizkaia,Munitibar,Munitibar-Arbatzegi Gerrikaitz-,469,,,,,,,,,,,"16,2","6,0","93,09"
48008,Bizkaia,Artzentales,Artzentales,722,,,,,,,,,,,"24,7","13,9","30,48"
48009,Bizkaia,Arrankudiaga,Arrankudiaga,974,bai,450,13,33,6,,502,"61,59",2014-11-02,Nahi duzu euskal estatu subirano bateko herritar izan?,"21,8","8,1","66,61"
48010,Bizkaia,Arrieta,Arrieta,573,,,,,,,,,2017-05-07,,"17,6","7,2","85,13"
48011,Bizkaia,Arrigorriaga,Arrigorriaga,12.374,,,,,,,,,2017-05-07,,"29,5","14,6","47,27"
48012,Bizkaia,Bakio,Bakio,2.615,,,,,,,,,2017-05-07,,"20,0","10,8","69,65"
48013,Bizkaia,Barakaldo,Barakaldo,100.080,,,,,,,,,,,"18,3","17,2","32,60"
48014,Bizkaia,Barrika,Barrika,1.537,,,,,,,,,2017-05-07,,"23,0","12,4","58,44"
48015,Bizkaia,Basauri,Basauri,41.624,,,,,,,,,,,"25,7","17,3","36,84"
48016,Bizkaia,Berango,Berango,6.925,,,,,,,,,2017-05-07,,"21,1","10,4","52,00"
48017,Bizkaia,Bermeo,Bermeo,17.057,,,,,,,,,2017-04-02,,"25,0","13,4","80,19"
48018,Bizkaia,Berriatua,Berriatua,1.236,,,,,,,,,2017-05-07,,"17,1","7,4","86,43"
48019,Bizkaia,Berriz,Berriz,4.785,,,,,,,,,,,"16,6","10,6","64,28"
48020,Bizkaia,Bilbo,Bilbao,346.574,,,,,,,,,,,"17,3","17,9","37,13"
48021,Bizkaia,Busturia,Busturia,1.693,,,,,,,,,2017-04-02,,"22,1","13,4","75,38"
48022,Bizkaia,Karrantza,Karrantza Harana / Valle de Carranza,2.794,,,,,,,,,,,"14,0","16,6","30,64"
48023,Bizkaia,Arteaga,Artea,775,,,,,,,,,,,"14,3","9,5","82,09"
48024,Bizkaia,Zeanuri,Zeanuri,1.269,,,,,,,,,2017-05-07,,"13,0","5,7","83,62"
48025,Bizkaia,Zeberio,Zeberio,1.085,,,,,,,,,,,"22,7","9,5","79,72"
48026,Bizkaia,Dima,Dima,1.416,bai,729,10,21,5,,765,"63,42",2017-04-18,,"18,8","7,2","87,38"
48027,Bizkaia,Durango,Durango,28.806,,,,,,,,,2017-05-07,,"29,6","11,6","62,31"
48028,Bizkaia,Ea,Ea,865,,,,,,,,,,,"24,6","9,7","84,13"
48029,Bizkaia,Etxebarri,Etxebarri,10.754,,,,,,,,,,,"9,5","11,7","42,77"
48030,Bizkaia,Etxebarria,Etxebarria,790,,,,,,,,,2017-05-07,,"15,0","5,5","90,85"
48031,Bizkaia,Elantxobe,Elantxobe,391,,,,,,,,,,,"4,6","14,6","91,54"
48032,Bizkaia,Elorrio,Elorrio,7.240,,,,,,,,,2017-05-07,,"9,5","7,7","71,23"
48033,Bizkaia,Ereño,Ereño,244,,,,,,,,,,,"6,3","6,1","90,04"
48034,Bizkaia,Ermua,Ermua,16.109,,,,,,,,,,,"8,3","12,2","43,57"
48035,Bizkaia,Fruiz,Fruiz,555,,,,,,,,,,,"4,2","8,2","82,43"
48036,Bizkaia,Galdakao,Galdakao,29.351,,,,,,,,,,,"6,8","12,8","52,15"
48037,Bizkaia,Galdames,Galdames,815,,,,,,,,,,,"8,1","13,9","34,38"
48038,Bizkaia,Gamiz-Fika,Gamiz-Fika,1.342,,,,,,,,,2017-05-07,,"3,6","8,8","81,29"
48039,Bizkaia,Garai,Garai,316,,,,,,,,,,,"4,5","8,9","86,57"
48040,Bizkaia,Gatika,Gatika,1.615,,,,,,,,,2017-05-07,,"8,1","8,6","80,27"
48041,Bizkaia,Gautegiz Arteaga,Gautegiz Arteaga,868,,,,,,,,,2017-04-02,,"6,3","7,0","85,96"
48042,Bizkaia,Gordexola,Gordexola,1.710,,,,,,,,,,,"3,7","10,7","40,34"
48043,Bizkaia,Gorliz,Gorliz,5.664,,,,,,,,,2017-05-07,,"11,2","12,5","56,60"
48044,Bizkaia,Getxo,Getxo,79.544,,,,,,,,,,,"3,6","11,4","43,64"
48045,Bizkaia,Gueñes,Güeñes,6.535,,,,,,,,,,,"8,0","17,4","38,20"
48046,Bizkaia,Gernika-Lumo,Gernika-Lumo,16.797,,,,,,,,,2017-04-02,,"1,9","14,0","75,57"
48047,Bizkaia,Gizaburuaga,Gizaburuaga,212,,,,,,,,,,,"7,1","5,3","93,37"
48048,Bizkaia,Ibarrangelu,Ibarrangelu,639,,,,,,,,,,,"5,4","9,0","85,67"
48049,Bizkaia,Ispaster,Ispaster,708,bai,351,10,14,2,591,377,"63,79",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"6,2","5,7","90,62"
48050,Bizkaia,Izurtza,Izurtza,274,,,,,,,,,,,"3,1","5,7","80,43"
48051,Bizkaia,Lanestosa,Lanestosa,266,,,,,,,,,,,"10,7","11,9","24,44"
48052,Bizkaia,Larrabetzu,Larrabetzu,2.023,bai,866,31,1,21,1585,919,"57,98",2017-03-19,Euskal estatu burujabe bateko herritar izan gura dozu?,"5,5","7,5","79,73"
48053,Bizkaia,Laukiz,Laukiz,1.129,,,,,,,,,,,"7,4","7,7","64,71"
48054,Bizkaia,Leioa,Leioa,30.685,,,,,,,,,2017,,"10,9","12,3","45,42"
48055,Bizkaia,Lemoa,Lemoa,3.512,,,,,,,,,,,"10,0","12,1","67,07"
48056,Bizkaia,Lemoiz,Lemoiz,1.182,,,,,,,,,2017-05-07,,"8,6","8,5","70,79"
48057,Bizkaia,Lekeitio,Lekeitio,7.305,,,,,,,,,2017-05-07,,"6,9","8,6","85,82"
48058,Bizkaia,Mallabia,Mallabia,1.211,,,,,,,,,,,"6,0","7,5","78,86"
48059,Bizkaia,Mañaria,Mañaria,507,,,,,,,,,,,"6,6","8,5","85,73"
48060,Bizkaia,Markina-Xemein,Markina-Xemein,4.982,,,,,,,,,2017-05-07,,"2,1","8,6","83,77"
48061,Bizkaia,Jatabe,Maruri-Jatabe,945,,,,,,,,,2017-05-07,,"6,5","6,8","73,25"
48062,Bizkaia,Mendata,Mendata,379,,,,,,,,,,,"5,7","7,6","91,08"
48063,Bizkaia,Mendexa,Mendexa,455,,,,,,,,,2017-05-07,,"6,2","8,0","89,06"
48064,Bizkaia,Meñaka,Meñaka,745,,,,,,,,,2017-05-07,,"14,8","7,0","83,26"
48065,Bizkaia,Ugao,Ugao-Miraballes,4.085,,,,,,,,,,,"4,9","14,2","51,64"
48066,Bizkaia,Morga,Morga,416,,,,,,,,,,,"3,3","8,8","88,65"
48067,Bizkaia,Muxika,Muxika,1.443,,,,,,,,,,,"3,2","9,5","90,73"
48068,Bizkaia,Mundaka,Mundaka,1.893,,,,,,,,,,,"10,9","11,0","77,75"
48069,Bizkaia,Mungia,Mungia,17.055,,,,,,,,,2017-05-07,,"7,3","12,2","65,36"
48070,Bizkaia,Aulesti,Aulesti,654,,,,,,,,,2017-05-07,,"3,0","6,5","93,28"
48071,Bizkaia,Muskiz,Muskiz,7.612,,,,,,,,,,,"14,8","15,0","39,05"
48072,Bizkaia,Otxandio,Otxandio,1.297,,,,,,,,,2017-05-07,,"10,2","8,3","76,29"
48073,Bizkaia,Ondarroa,Ondarroa,8.575,,,,,,,,,2017-05-07,,"6,1","11,1","84,17"
48074,Bizkaia,Urduña,Urduña / Orduña,4.216,,,,,,,,,,,"12,0","11,3","38,96"
48075,Bizkaia,Orozko,Orozko,2.610,,,,,,,,,2017-05-07,,"12,4","6,4","70,92"
48076,Bizkaia,Sukarrieta,Sukarrieta,355,,,,,,,,,,,"7,5","13,1","76,80"
48077,Bizkaia,Plentzia,Plentzia,4.344,,,,,,,,,2017-05-07,,"11,3","11,0","53,31"
48078,Bizkaia,Portugalete,Portugalete,47.117,,,,,,,,,,,"8,4","16,6","33,78"
48079,Bizkaia,Errigoiti,Errigoiti,520,,,,,,,,,,,"7,5","7,3","87,43"
48080,Bizkaia,Trapagaran,Valle de Trápaga-Trapagaran,12.129,,,,,,,,,,,"2,3","15,8","36,06"
48081,Bizkaia,Lezama,Lezama,2.432,,,,,,,,,,,"2,4","10,1","73,40"
48082,Bizkaia,Santurtzi,Santurtzi,46.651,,,,,,,,,,,"9,7","18,1","34,33"
48083,Bizkaia,Ortuella,Ortuella,8.410,,,,,,,,,,,"5,0","18,0","36,24"
48084,Bizkaia,Sestao,Sestao,28.288,,,,,,,,,,,"5,5","23,0","32,15"
48085,Bizkaia,Sopela,Sopelana,13.061,,,,,,,,,2017-05-07,,"7,3","11,9","58,29"
48086,Bizkaia,Sopuerta,Sopuerta,2.563,,,,,,,,,,,"5,7","12,8","35,84"
48087,Bizkaia,Turtzioz,Trucios-Turtzioz,525,,,,,,,,,,,"3,2","15,3","29,16"
48088,Bizkaia,Ubide,Ubide,180,,,,,,,,,,,"12,1","9,1","74,44"
48089,Bizkaia,Urduliz,Urdúliz,3.930,,,,,,,,,2017-05-07,,"7,6","10,7","62,17"
48090,Bizkaia,Balmaseda,Balmaseda,7.829,,,,,,,,,,,"10,4","18,6","35,86"
48091,Bizkaia,Atxondo,Atxondo,1.393,,,,,,,,,,,"4,4","7,0","71,17"
48092,Bizkaia,Bedia,Bedia,1.035,,,,,,,,,,,"5,9","12,9","69,51"
48093,Bizkaia,Areatza,Areatza,1.211,,,,,,,,,,,"3,0","12,1","71,17"
48094,Bizkaia,Igorre,Igorre,4.247,,,,,,,,,,,"6,0","12,1","75,28"
48095,Bizkaia,Zaldibar,Zaldibar,3.062,,,,,,,,,,,"12,1","9,7","60,40"
48096,Bizkaia,Zalla,Zalla,8.481,,,,,,,,,,,"3,5","18,0","38,45"
48097,Bizkaia,Zaratamo,Zaratamo,1.652,,,,,,,,,,,"5,4","14,5","52,98"
48901,Bizkaia,Derio,Derio,5.940,,,,,,,,,,,"4,3","10,0","48,48"
48902,Bizkaia,Erandio,Erandio,24.311,,,,,,,,,,,"10,5","15,3","38,80"
48903,Bizkaia,Loiu,Loiu,2.388,,,,,,,,,,,"8,3","6,8","60,14"
48904,Bizkaia,Sondika,Sondika,4.589,,,,,,,,,,,"5,5","12,1","53,85"
48905,Bizkaia,Zamudio,Zamudio,3.263,,,,,,,,,,,"19,6","11,0","59,00"
48906,Bizkaia,Forua,Forua,956,,,,,,,,,,,"9,6","12,4","82,82"
48907,Bizkaia,Kortezubi,Kortezubi,461,,,,,,,,,2017-04-02,,"7,5","7,5","92,80"
48908,Bizkaia,Murueta,Murueta,311,,,,,,,,,2017-04-02,,"8,2","7,6","89,01"
48909,Bizkaia,Nabarniz,Nabarniz,239,,,,,,,,,2017-04-02,,"5,1","8,8","93,27"
48910,Bizkaia,Iurreta,Iurreta,3.781,,,,,,,,,,,"4,8","12,9","59,03"
48911,Bizkaia,Ajangiz,Ajangiz,463,,,,,,,,,,,"15,3","6,4","91,91"
48912,Bizkaia,Alonsotegi,Alonsotegi,2.843,,,,,,,,,,,"5,0","21,0","37,66"
48913,Bizkaia,Zierbena,Zierbena,1.498,,,,,,,,,,,"0,0","12,4","40,60"
48914,Bizkaia,Arratzu,Arratzu,398,,,,,,,,,,,"2,1","6,7","92,20"
48915,Bizkaia,Ziortza-Bolibar,Ziortza-Bolibar,434,,,,,,,,,2017-05-07,,"6,3","5,3","93,20"
64008,Nafarroa Beherea,Ahatsa-Altzieta-Bazkazane,Ahaxe-Alciette-Bascassan,286,,,,,,,,,,,"4,5",,"63,33"
64009,Lapurdi,Ahetze,Ahetze,1.856,,,,,,,,,,,"3,1",,"15,91"
64010,Nafarroa Beherea,Aiziritze-Gamue-Zohazti,Aïcirits-Camou-Suhast,650,,,,,,,,,,,"4,9",,"10,55"
64011,Nafarroa Beherea,Aintzila,Aincille,135,,,,,,,,,,,"4,3",,"71,19"
64012,Zuberoa,Ainharbe,Aïnharp,145,,,,,,,,,,,"8,2",,"52,82"
64013,Nafarroa Beherea,Ainhize-Monjolose,Ainhice-Mongelos,163,,,,,,,,,,,"3,2",,"77,44"
64014,Lapurdi,Ainhoa,Aïnharp,673,,,,,,,,,,,"7,8",,"27,34"
64015,Zuberoa,Altzai-Altzabeheti-Zunharreta,Alçay-Alçabéhéty-Sunharette,231,,,,,,,,,,,"5,7",,"72,53"
64016,Nafarroa Beherea,Aldude,Les Aldudes,355,,,,,,,,,,,"2,1",,"52,78"
64017,Zuberoa,Aloze-Ziboze-Onizegaine,Alos-Sibas-Abense,293,,,,,,,,,,,"1,1",,"60,82"
64018,Nafarroa Beherea,Amendüze-Unaso,Amendeuix-Oneix,421,,,,,,,,,,,"8,7",,"17,17"
64019,Nafarroa Beherea,Amorotze-Zokotze,Amorots-Succos,231,,,,,,,,,,,"6,5",,"19,12"
64024,Lapurdi,Angelu,Anglet,38.581,,,,,,,,,,,"9,9",,"8,10"
64026,Nafarroa Beherea,Anhauze,Anhaux,319,,,,,,,,,,,"9,4",,"55,06"
64031,Nafarroa Beherea,Erango,Arancou,128,,,,,,,,,,,"4,7",,"11,83"
