lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
20057,Gipuzkoa,Mutiloa,Mutiloa,262,bai,132,10,0,1,200,143,"71,5",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"3,8","5,1","89,01"
20058,Gipuzkoa,Olaberria,Olaberria,957,bai,171,2,0,0,818,173,"21,15",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"20,7","9,3","64,29"
20059,Gipuzkoa,Oñati,Oñati,11.282,bai,3232,100,10,29,9448,3371,"35,68",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"12,7","7,6","81,56"
20060,Gipuzkoa,Orexa,Orexa,123,bai,77,0,1,0,95,78,"82,11",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"14,3","1,9","96,73"
20061,Gipuzkoa,Orio,Orio,5.694,,,,,,,,,2017-05-07,,"16,7","9,3","83,13"
20062,Gipuzkoa,Ormaiztegi,Ormaiztegi,1.305,bai,466,12,4,3,1171,485,"41,42",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"16,3","8,8","79,18"
20063,Gipuzkoa,Oiartzun,Oiartzun,9.970,bai,3307,45,64,10,8523,3426,"40,2",2017-03-19,Nahi al duzu euskal estatu bateko herritarra izan?,"16,4","9,1","81,88"
20064,Gipuzkoa,Pasaia,Pasaia,15.929,bai,2326,66,38,13,14027,2443,"17,42",2017-03-19,Nahi al duzu Euskal Herri burujabe bateko herritarra izan?,"22,8","15,2","52,30"
20065,Gipuzkoa,Soraluze,Soraluze-Placencia de las Armas,3.991,,,,,,,,,2017-05-07,,"26,5","15,6","67,24"
20066,Gipuzkoa,Errezil,Errezil,594,,,,,,,,,2017-05-07,,"33,3","8,4","91,50"
20067,Gipuzkoa,Errenteria,Errenteria,39.230,bai,4491,260,66,52,33435,5186,"15,51",2017-03-19,"1) Ados zaude euskal errepublika burujabe bat eratzearekin? 2) Aurreko erantzuna baiezkoa bada, ados zaude independentea izatearekin?
","22,4","14,1","51,73"
20068,Gipuzkoa,Leintz Gatzaga,Leintz-Gatzaga,244,bai,100,5,2,0,204,107,"52,45",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"16,0","6,1","84,12"
20069,Gipuzkoa,Donostia,Donostia-San Sebastián,186.126,,,,,,,,,,,"18,2","11,0","54,89"
20070,Gipuzkoa,Segura,Segura,1.480,bai,644,33,3,6,1212,686,"56,6",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"10,6","7,7","85,52"
20071,Gipuzkoa,Tolosa,Tolosa,18.936,bai,4091,99,46,14,16343,4250,"26,01",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"16,3","13,0","75,72"
20072,Gipuzkoa,Urnieta,Urnieta,6.198,,,,,,,,,,,"20,4","8,9","69,72"
20073,Gipuzkoa,Usurbil,Usurbil,6.168,,,,,,,,,2017-05-07,,"11,9","9,7","78,15"
20074,Gipuzkoa,Bergara,Bergara,14.831,bai,3549,154,17,17,12684,3737,"29,46",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"15,8","9,4","75,97"
20075,Gipuzkoa,Villabona-Amasa,Villabona,5.888,bai,1401,29,19,3,4925,1452,"29,48",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"20,6","12,9","75,35"
20076,Gipuzkoa,Ordizia,Ordizia,9.803,bai,1786,84,14,10,8252,1894,"22,95",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"19,4","12,1","67,68"
20077,Gipuzkoa,Urretxu,Urretxu,6.890,bai,1127,42,7,1,5675,1177,"20,62",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"19,0","9,4","68,12"
20078,Gipuzkoa,Zaldibia,Zaldibia,1.558,bai,764,14,3,5,1187,786,"66,22",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"11,3","8,3","85,88"
20079,Gipuzkoa,Zarautz,Zarautz,22.890,,,,,,,,,2017-05-07,,"17,6","10,0","78,53"
20080,Gipuzkoa,Zumarraga,Zumarraga,9.950,bai,1104,30,5,1,8487,1144,"13,43",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"23,0","12,9","57,31"
20081,Gipuzkoa,Zumaia,Zumaia,9.734,,,,,,,,,2017-05-07,,"19,5","10,6","79,45"
20901,Gipuzkoa,Mendaro,Mendaro,1.998,,,,,,,,,2017-05-07,,"15,1","9,8","79,00"
20902,Gipuzkoa,Lasarte-Oria,Lasarte-Oria,18.082,,,,,,,,,2017-05-07,,"19,8","12,9","53,55"
20903,Gipuzkoa,Astigarraga,Astigarraga,5.535,bai,916,26,8,3,4768,953,"19,99",2017-03-19,Nahi al duzu Euskal Herria errepublika burujabea eta independentea izatea?,"20,1","8,9","71,31"
20904,Gipuzkoa,Baliarrain,Baliarrain,130,bai,70,6,0,1,100,77,77,2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"14,3","11,7","96,22"
20905,Gipuzkoa,Orendain,Orendain,193,bai,118,1,2,1,161,122,"75,78",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"17,6","6,0","93,15"
20906,Gipuzkoa,Altzaga,Altzaga,165,bai,75,0,1,0,154,76,"49,35",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"12,5","10,1","89,29"
20907,Gipuzkoa,Gaztelu,Gaztelu,171,bai,71,0,0,0,134,71,"52,99",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"25,0","2,2","94,48"
31001,Nafarroa Garaia,Abaigar,Abáigar,98,,,,,,,,,,,"0,0",,"5,10"
