lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
20014,Gipuzkoa,Asteasu,Asteasu,1.523,,,,,,,,,2017-03-19,,"16,9"
20015,Gipuzkoa,Ataun,Ataun,1.700,bai,776,25,6,4,1365,811,"59,41",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,5"
20016,Gipuzkoa,Aia,Aia,2.039,,,,,,,,,,,"13,3"
20017,Gipuzkoa,Azkoitia,Azkoitia,11.480,,,,,,,,,,,"21,8"
20018,Gipuzkoa,Azpeitia,Azpeitia,14.580,bai,4524,188,17,52,12142,4781,"39,38",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"15,3"
20019,Gipuzkoa,Beasain,Beasain,13.812,bai,2329,80,7,9,11478,2425,"21,13",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"20,2"
20020,Gipuzkoa,Beizama,Beizama,167,,,,,,,,,,,"10,5"
20021,Gipuzkoa,Belauntza,Belauntza,260,,,,,,,,,2017-03-19,,"30,3"
20022,Gipuzkoa,Berastegi,Berastegi,1.056,,,,,,,,,2017-03-19,,"13,1"
20023,Gipuzkoa,Berrobi,Berrobi,568,,,,,,,,,2017-03-19,,"23,8"
20024,Gipuzkoa,Bidania-Goiatz,Bidegoian,524,,,,,,,,,2017-03-19,,"8,5"
20025,Gipuzkoa,Zegama,Zegama,1.527,bai,594,27,0,0,1267,621,"49,01",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"12,2"
20026,Gipuzkoa,Zerain,Zerain,263,bai,149,2,1,1,210,153,"72,86",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"17,4"
20027,Gipuzkoa,Zestoa,Zestoa,3.656,,,,,,,,,,,"17,3"
20028,Gipuzkoa,Zizurkil,Zizurkil,2.997,,,,,,,,,2017-03-19,,"15,8"
