lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
31117,Nafarroa Garaia,Goizueta,Goizueta,747,,,,,,,,,,,"0,0"
31118,Nafarroa Garaia,Goñerri,Goñi,170,,,,,,,,,,,"0,0"
31119,Nafarroa Garaia,Gorza,Güesa <> Gorza,45,,,,,,,,,,,"0,0"
31120,Nafarroa Garaia,Gesalatz,Guesálaz <> Gesalatz,456,,,,,,,,,,,"0,0"
31121,Nafarroa Garaia,Girgillao,Guirguillano,86,,,,,,,,,,,"0,0"
31122,Nafarroa Garaia,Uharte,Huarte <> Uharte,6.941,,,,,,,,,,,"0,0"
31123,Nafarroa Garaia,Uharte Arakil,Uharte-Arakil,839,,,,,,,,,,,"24,9"
31124,Nafarroa Garaia,Ibargoiti,Ibargoiti,248,,,,,,,,,,,"0,0"
31125,Nafarroa Garaia,Iguzkitza,Igúzquiza,333,,,,,,,,,,,"0,0"
31126,Nafarroa Garaia,Imotz,Imotz,434,,,,,,,,,,,"0,0"
31127,Nafarroa Garaia,Irañeta,Irañeta,171,,,,,,,,,,,"0,0"
31128,Nafarroa Garaia,Izaba,Isaba <> Izaba,474,,,,,,,,,,,"0,0"
31129,Nafarroa Garaia,Ituren,Ituren,525,,,,,,,,,,,"0,0"
31130,Nafarroa Garaia,Iturmendi,Iturmendi,392,,,,,,,,,,,"0,0"
31131,Nafarroa Garaia,Itza,Iza,1.156,,,,,,,,,,,"0,0"
31132,Nafarroa Garaia,Itzagaondoa,Izagaondoa,180,,,,,,,,,,,"0,0"
31133,Nafarroa Garaia,Itzaltzu,Izalzu <> Itzaltzu,50,,,,,,,,,,,"21,0"
31134,Nafarroa Garaia,Jaurrieta,Jaurrieta,208,,,,,,,,,,,"0,0"
31135,Nafarroa Garaia,Xabier,Javier,116,,,,,,,,,,,"0,0"
31136,Nafarroa Garaia,Txulapain,Juslapeña,548,,,,,,,,,,,"0,0"
31137,Nafarroa Garaia,Labaien,Labaien,234,,,,,,,,,,,"0,0"
31138,Nafarroa Garaia,Lakuntza,Lakuntza,1.262,,,,,,,,,,,"0,0"
31139,Nafarroa Garaia,Lana,Lana,182,,,,,,,,,,,"21,5"
31140,Nafarroa Garaia,Lantz,Lantz,149,,,,,,,,,,,"25,6"
31141,Nafarroa Garaia,Lapoblación,Lapoblación,141,,,,,,,,,,,"0,0"
31142,Nafarroa Garaia,Larraga,Larraga,2.093,,,,,,,,,,,"0,0"
31143,Nafarroa Garaia,Larragoa,Larraona,116,,,,,,,,,,,"0,0"
31144,Nafarroa Garaia,Larraun,Larraun,1.002,,,,,,,,,,,"27,3"
31145,Nafarroa Garaia,Elizagorria,Lazagurría,204,,,,,,,,,,,"0,0"
31146,Nafarroa Garaia,Leatxe,Leache,49,,,,,,,,,,,"0,0"
31147,Nafarroa Garaia,Legarda,Legarda,114,,,,,,,,,,,"0,0"
31148,Nafarroa Garaia,Legaria,Legaria,106,,,,,,,,,,,"20,0"
31149,Nafarroa Garaia,Leitza,Leitza,2.906,,,,,,,,,,,"21,8"
31150,Nafarroa Garaia,Leotz,Leoz <> Leotz,253,,,,,,,,,,,"0,0"
31151,Nafarroa Garaia,Lerga,Lerga,65,,,,,,,,,,,"0,0"
31152,Nafarroa Garaia,Lerin,Lerín,1.706,,,,,,,,,,,"0,0"
31153,Nafarroa Garaia,Lesaka,Lesaka,2.742,,,,,,,,,,,"0,0"
31154,Nafarroa Garaia,Lezaun,Lezáun,263,,,,,,,,,,,"0,0"
31155,Nafarroa Garaia,Ledea,Liédena,318,,,,,,,,,,,"0,0"
31156,Nafarroa Garaia,Lizoainibar-Arriasgoiti,Lizoain-Arriasgoiti,317,,,,,,,,,,,"18,9"
31157,Nafarroa Garaia,Lodosa,Lodosa,4.760,,,,,,,,,,,"0,0"
31158,Nafarroa Garaia,Longida,Lónguida <> Longida,318,,,,,,,,,,,"26,4"
31159,Nafarroa Garaia,Irunberri,Lumbier,1.346,,,,,,,,,,,"0,0"
31160,Nafarroa Garaia,Lukin,Luquin,138,,,,,,,,,,,"0,0"
31161,Nafarroa Garaia,Mañeru,Mañeru,436,,,,,,,,,,,"0,0"
31162,Nafarroa Garaia,Marañón,Marañón,51,,,,,,,,,,,"0,0"
31163,Nafarroa Garaia,Martzilla,Marcilla,2.823,,,,,,,,,,,"0,0"
31164,Nafarroa Garaia,Mélida,Mélida,742,,,,,,,,,,,"0,0"
31165,Nafarroa Garaia,Mendabia,Mendavia,3.616,,,,,,,,,,,"0,0"
31166,Nafarroa Garaia,Mendaza,Mendaza,318,,,,,,,,,,,"0,0"
31167,Nafarroa Garaia,Mendigorria,Mendigorría,1.078,,,,,,,,,,,"0,0"
31168,Nafarroa Garaia,Metauten,Metauten,289,,,,,,,,,,,"0,0"
31169,Nafarroa Garaia,Milagro,Milagro,3.366,,,,,,,,,,,"0,0"
31170,Nafarroa Garaia,Mirafuentes,Mirafuentes,54,,,,,,,,,,,"0,0"
31171,Nafarroa Garaia,Miranda Arga,Miranda de Arga,878,,,,,,,,,,,"19,6"
31172,Nafarroa Garaia,Elo,Monreal <> Elo,478,,,,,,,,,,,"26,1"
31173,Nafarroa Garaia,Monteagudo,Monteagudo,1.105,,,,,,,,,,,"0,0"
31174,Nafarroa Garaia,Morentin,Morentin,135,,,,,,,,,,,"0,0"
31175,Nafarroa Garaia,Mues,Mués,81,,,,,,,,,,,"0,0"
31176,Nafarroa Garaia,Murchante,Murchante,3.761,,,,,,,,,,,"24,2"
31177,Nafarroa Garaia,Murieta,Murieta,346,,,,,,,,,,,"0,0"
31178,Nafarroa Garaia,Murillo El Cuende,Murillo el Cuende,653,,,,,,,,,,,"0,0"
31179,Nafarroa Garaia,Murillo El Fruto,Murillo el Fruto,640,,,,,,,,,,,"0,0"
31180,Nafarroa Garaia,Muruzabal,Muruzábal,271,,,,,,,,,,,"0,0"
31181,Nafarroa Garaia,Nabaskoze,Navascués,158,,,,,,,,,,,"0,0"
31182,Nafarroa Garaia,Nazar,Nazar,45,,,,,,,,,,,"0,0"
31183,Nafarroa Garaia,Obanos,Obanos,919,,,,,,,,,,,"18,7"
31184,Nafarroa Garaia,Oko,Oco,66,,,,,,,,,,,"16,2"
31185,Nafarroa Garaia,Otsagabia,Ochagavía <> Otsagabia,584,,,,,,,,,,,"24,7"
31186,Nafarroa Garaia,Odieta,Odieta,364,,,,,,,,,,,"0,0"
31187,Nafarroa Garaia,Oiz,Oitz,140,,,,,,,,,,,"0,0"
31188,Nafarroa Garaia,Olaibar,Oláibar,289,,,,,,,,,,,"17,0"
31189,Nafarroa Garaia,Olatzagutia,Olazti/Olazagutía,1.552,,,,,,,,,,,"17,2"
31190,Nafarroa Garaia,Olexoa,Olejua,52,,,,,,,,,,,"0,0"
31191,Nafarroa Garaia,Erriberri,Olite <> Erriberri,3.886,,,,,,,,,,,"28,6"
31192,Nafarroa Garaia,Oloritz,Olóriz,191,,,,,,,,,,,"19,8"
31193,Nafarroa Garaia,Oltza Zendea,Cendea de Olza <> Oltza zendea,1.806,,,,,,,,,,,"26,8"
31194,Nafarroa Garaia,Ollaran,Ollo,407,,,,,,,,,,,"21,7"
31195,Nafarroa Garaia,Orbaizeta,Orbaizeta,208,,,,,,,,,,,"12,2"
31196,Nafarroa Garaia,Orbara,Orbara,41,,,,,,,,,,,"23,1"
31197,Nafarroa Garaia,Orisoain,Orísoain,94,,,,,,,,,,,"12,8"
31198,Nafarroa Garaia,Orontze,Oronz <> Orontze,46,,,,,,,,,,,"16,3"
31199,Nafarroa Garaia,Orotz-Betelu,Oroz-Betelu <> Orotz-Betelu,156,,,,,,,,,,,"16,4"
31200,Nafarroa Garaia,Oteitza,Oteiza,944,,,,,,,,,,,"15,3"
31201,Nafarroa Garaia,Iruñea,Pamplona/Iruña,196.166,,,,,,,,,,,"9,4"
31202,Nafarroa Garaia,Azkoien,Peralta <> Azkoien,5.889,,,,,,,,,,,"22,4"
31203,Nafarroa Garaia,Petilla Aragoi,Petilla de Aragón,35,,,,,,,,,,,"26,8"
31204,Nafarroa Garaia,Piedramillera,Piedramillera,43,,,,,,,,,,,"25,7"
31205,Nafarroa Garaia,Pitillas,Pitillas,523,,,,,,,,,,,"20,6"
31206,Nafarroa Garaia,Gares,Puente la Reina <> Gares,2.812,,,,,,,,,,,"25,6"
31207,Nafarroa Garaia,Puiu,Pueyo,347,,,,,,,,,,,"16,4"
31208,Nafarroa Garaia,Ribaforada,Ribaforada,3.687,,,,,,,,,,,"26,2"
31209,Nafarroa Garaia,Erromantzatua,Romanzado,166,,,,,,,,,,,"17,6"
31210,Nafarroa Garaia,Erronkari,Roncal <> Erronkari,246,,,,,,,,,,,"16,7"
31211,Nafarroa Garaia,Orreaga,Orreaga/Roncesvalles,33,,,,,,,,,,,"24,4"
31212,Nafarroa Garaia,Zare,Sada,172,,,,,,,,,,,"19,0"
31213,Nafarroa Garaia,Saldias,Saldías,118,,,,,,,,,,,"22,8"
31214,Nafarroa Garaia,Jaitz,Salinas de Oro <> Jaitz,118,,,,,,,,,,,"16,4"
31215,Nafarroa Garaia,San Adrián,San Adrián,6.216,,,,,,,,,,,"12,0"
31216,Nafarroa Garaia,Zangoza,Sangüesa <> Zangoza,5.078,,,,,,,,,,,"18,0"
31217,Nafarroa Garaia,San Martin Unx,San Martín de Unx,414,,,,,,,,,,,"16,4"
31219,Nafarroa Garaia,Santsol,Sansol,104,,,,,,,,,,,"18,3"
31220,Nafarroa Garaia,Santakara,Santacara,895,,,,,,,,,,,"14,9"
31221,Nafarroa Garaia,Doneztebe,Doneztebe/Santesteban,1.644,,,,,,,,,,,"18,0"
31222,Nafarroa Garaia,Sartze,Sarriés <> Sartze,62,,,,,,,,,,,"11,0"
31223,Nafarroa Garaia,Sartaguda,Sartaguda,1.317,,,,,,,,,,,"12,5"
31224,Nafarroa Garaia,Sesma,Sesma,1.201,,,,,,,,,,,"18,3"
31225,Nafarroa Garaia,Sorlada,Sorlada,71,,,,,,,,,,,"15,4"
31226,Nafarroa Garaia,Sunbilla,Sunbilla,650,,,,,,,,,,,"24,7"
31227,Nafarroa Garaia,Tafalla,Tafalla,10.966,,,,,,,,,,,"11,1"
31228,Nafarroa Garaia,Tebas-Muru Artederreta,Tiebas-Muruarte de Reta,633,,,,,,,,,,,"20,8"
31229,Nafarroa Garaia,Tirapu,Tirapu,57,,,,,,,,,,,"21,3"
31230,Nafarroa Garaia,Torralba Del Río,Torralba del Río,120,,,,,,,,,,,"19,3"
31231,Nafarroa Garaia,Torres Del Río,Torres del Río,135,,,,,,,,,,,"8,3"
31232,Nafarroa Garaia,Tutera,Tudela,35.062,,,,,,,,,,,"15,8"
31233,Nafarroa Garaia,Tulebras,Tulebras,125,,,,,,,,,,,"23,0"
31234,Nafarroa Garaia,Ukar,Úcar,191,,,,,,,,,,,"14,8"
31235,Nafarroa Garaia,Uxue,Ujué,198,,,,,,,,,,,"24,1"
31236,Nafarroa Garaia,Ultzama,Ultzama,1.668,,,,,,,,,,,"20,2"
31237,Nafarroa Garaia,Untzitibar,Unciti,229,,,,,,,,,,,"25,0"
31238,Nafarroa Garaia,Untzue,Unzué <> Untzue,127,,,,,,,,,,,"20,7"
31239,Nafarroa Garaia,Urdazubi,Urdazubi/Urdax,392,,,,,,,,,,,"14,3"
31240,Nafarroa Garaia,Urdiain,Urdiain,677,,,,,,,,,,,"19,0"
31241,Nafarroa Garaia,Urraulgoiti,Urraúl Alto,151,,,,,,,,,,,"20,6"
31242,Nafarroa Garaia,Urraulbeiti,Urraúl Bajo,290,,,,,,,,,,,"26,5"
31243,Nafarroa Garaia,Urrotz,Urroz-Villa,398,,,,,,,,,,,"30,4"
31244,Nafarroa Garaia,Urroz,Urrotz,179,,,,,,,,,,,"15,3"
31245,Nafarroa Garaia,Urzainki,Urzainqui <> Urzainki,100,,,,,,,,,,,"17,5"
31246,Nafarroa Garaia,Uterga,Uterga,172,,,,,,,,,,,"18,7"
31247,Nafarroa Garaia,Uztarroze,Uztárroz <> Uztarroze,158,,,,,,,,,,,"21,3"
31248,Nafarroa Garaia,Luzaide,Luzaide / Valcarlos,380,,,,,,,,,,,"20,6"
31249,Nafarroa Garaia,Valtierra,Valtierra,2.467,,,,,,,,,,,"17,2"
31250,Nafarroa Garaia,Bera,Bera,3.760,,,,,,,,,,,"20,9"
31251,Nafarroa Garaia,Viana,Viana,4.084,,,,,,,,,,,"14,8"
31252,Nafarroa Garaia,Bidankoze,Vidángoz <> Bidankoze,96,,,,,,,,,,,"17,1"
31253,Nafarroa Garaia,Bidaurreta,Bidaurreta,160,,,,,,,,,,,"12,6"
31254,Nafarroa Garaia,Alesbes,Villafranca,2.860,,,,,,,,,,,"17,9"
31255,Nafarroa Garaia,Villamayor De Monjardín,Villamayor de Monjardín,130,,,,,,,,,,,"11,9"
31256,Nafarroa Garaia,Hiriberri,Hiriberri/Villanueva de Aezkoa,113,,,,,,,,,,,"12,8"
31257,Nafarroa Garaia,Villatuerta,Villatuerta,1.128,,,,,,,,,,,"23,7"
31258,Nafarroa Garaia,Atarrabia,Villava / Atarrabia,10.211,,,,,,,,,,,"26,7"
31259,Nafarroa Garaia,Igantzi,Igantzi,625,,,,,,,,,,,"16,8"
31260,Nafarroa Garaia,Deierri,Valle de Yerri <> Deierri,1.517,,,,,,,,,,,"19,6"
31261,Nafarroa Garaia,Esa,Yesa,223,,,,,,,,,,,"19,3"
31262,Nafarroa Garaia,Zabaltza,Zabalza <> Zabaltza,295,,,,,,,,,,,"19,0"
31263,Nafarroa Garaia,Zubieta,Zubieta,319,,,,,,,,,,,"24,2"
31264,Nafarroa Garaia,Zugarramurdi,Zugarramurdi,225,,,,,,,,,,,"12,3"
31265,Nafarroa Garaia,Zuñiga,Zúñiga,104,,,,,,,,,,,"22,5"
31901,Nafarroa Garaia,Barañain,Barañáin,20.458,,,,,,,,,,,"20,0"
31902,Nafarroa Garaia,Berriobeiti,Berrioplano <> Berriobeiti,6.444,,,,,,,,,,,"17,8"
31903,Nafarroa Garaia,Berriozar,Berriozar,9.625,,,,,,,,,,,"20,6"
31904,Nafarroa Garaia,Irurtzun,Irurtzun,2.223,,,,,,,,,,,"22,2"
31905,Nafarroa Garaia,Beriain,Beriáin,3.874,,,,,,,,,,,"27,5"
31906,Nafarroa Garaia,Orkoien,Orkoien,3.743,,,,,,,,,,,"11,1"
31907,Nafarroa Garaia,Zizur Nagusia,Zizur Mayor <> Zizur Nagusia,14.253,,,,,,,,,,,"21,6"
31908,Nafarroa Garaia,Lekunberri,Lekunberri,1.469,,,,,,,,,,,"12,8"
39101,Bizkaia,Villaverde Turtzioz,Valle de Villaverde,327,,,,,,,,,,,"26,5"
48001,Bizkaia,Abadiño,Abadiño,7.504,,,,,,,,,,,"27,0"
48002,Bizkaia,Abanto,Abanto y Ciérvana-Abanto Zierbena,9.688,,,,,,,,,,,"29,7"
48003,Bizkaia,Zornotza,Amorebieta-Etxano,18.579,,,,,,,,,,,"23,4"
48004,Bizkaia,Amoroto,Amoroto,417,,,,,,,,,,,"19,5"
48005,Bizkaia,Arakaldo,Arakaldo,144,,,,,,,,,,,"24,6"
48006,Bizkaia,Arantzazu,Arantzazu,380,,,,,,,,,,,"15,0"
48007,Bizkaia,Munitibar,Munitibar-Arbatzegi Gerrikaitz-,469,,,,,,,,,,,"16,2"
48008,Bizkaia,Artzentales,Artzentales,722,,,,,,,,,,,"24,7"
48009,Bizkaia,Arrankudiaga,Arrankudiaga,974,bai,450,13,33,6,,502,"61,59",2014-11-02,Nahi duzu euskal estatu subirano bateko herritar izan?,"21,8"
48010,Bizkaia,Arrieta,Arrieta,573,,,,,,,,,,,"17,6"
48011,Bizkaia,Arrigorriaga,Arrigorriaga,12.374,,,,,,,,,2017,,"29,5"
48012,Bizkaia,Bakio,Bakio,2.615,,,,,,,,,,,"20,0"
48013,Bizkaia,Barakaldo,Barakaldo,100.080,,,,,,,,,,,"18,3"
48014,Bizkaia,Barrika,Barrika,1.537,,,,,,,,,2017-04-02,,"23,0"
48015,Bizkaia,Basauri,Basauri,41.624,,,,,,,,,,,"25,7"
48016,Bizkaia,Berango,Berango,6.925,,,,,,,,,,,"21,1"
48017,Bizkaia,Bermeo,Bermeo,17.057,,,,,,,,,2017,,"25,0"
48018,Bizkaia,Berriatua,Berriatua,1.236,,,,,,,,,,,"17,1"
48019,Bizkaia,Berriz,Berriz,4.785,,,,,,,,,,,"16,6"
48020,Bizkaia,Bilbo,Bilbao,346.574,,,,,,,,,,,"17,3"
48021,Bizkaia,Busturia,Busturia,1.693,,,,,,,,,2017,,"22,1"
48022,Bizkaia,Karrantza,Karrantza Harana / Valle de Carranza,2.794,,,,,,,,,,,"14,0"
48023,Bizkaia,Arteaga,Artea,775,,,,,,,,,,,"14,3"
48024,Bizkaia,Zeanuri,Zeanuri,1.269,,,,,,,,,,,"13,0"
48025,Bizkaia,Zeberio,Zeberio,1.085,,,,,,,,,,,"22,7"
48026,Bizkaia,Dima,Dima,1.416,,,,,,,,,2016-11,,"18,8"
48027,Bizkaia,Durango,Durango,28.806,,,,,,,,,,,"29,6"
48028,Bizkaia,Ea,Ea,865,,,,,,,,,,,"24,6"
48029,Bizkaia,Etxebarri,Etxebarri,10.754,,,,,,,,,,,"9,5"
48030,Bizkaia,Etxebarria,Etxebarria,790,,,,,,,,,,,"15,0"
48031,Bizkaia,Elantxobe,Elantxobe,391,,,,,,,,,,,"4,6"
48032,Bizkaia,Elorrio,Elorrio,7.240,,,,,,,,,2017,,"9,5"
48033,Bizkaia,Ereño,Ereño,244,,,,,,,,,,,"6,3"
48034,Bizkaia,Ermua,Ermua,16.109,,,,,,,,,,,"8,3"
48035,Bizkaia,Fruiz,Fruiz,555,,,,,,,,,,,"4,2"
48036,Bizkaia,Galdakao,Galdakao,29.351,,,,,,,,,,,"6,8"
48037,Bizkaia,Galdames,Galdames,815,,,,,,,,,,,"8,1"
48038,Bizkaia,Gamiz-Fika,Gamiz-Fika,1.342,,,,,,,,,,,"3,6"
48039,Bizkaia,Garai,Garai,316,,,,,,,,,,,"4,5"
48040,Bizkaia,Gatika,Gatika,1.615,,,,,,,,,,,"8,1"
48041,Bizkaia,Gautegiz Arteaga,Gautegiz Arteaga,868,,,,,,,,,,,"6,3"
48042,Bizkaia,Gordexola,Gordexola,1.710,,,,,,,,,,,"3,7"
48043,Bizkaia,Gorliz,Gorliz,5.664,,,,,,,,,,,"11,2"
48044,Bizkaia,Getxo,Getxo,79.544,,,,,,,,,,,"3,6"
48045,Bizkaia,Gueñes,Güeñes,6.535,,,,,,,,,,,"8,0"
48046,Bizkaia,Gernika-Lumo,Gernika-Lumo,16.797,,,,,,,,,,,"1,9"
48047,Bizkaia,Gizaburuaga,Gizaburuaga,212,,,,,,,,,,,"7,1"
48048,Bizkaia,Ibarrangelu,Ibarrangelu,639,,,,,,,,,,,"5,4"
48049,Bizkaia,Ispaster,Ispaster,708,bai,351,10,14,2,591,377,"63,79",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"6,2"
48050,Bizkaia,Izurtza,Izurtza,274,,,,,,,,,,,"3,1"
48051,Bizkaia,Lanestosa,Lanestosa,266,,,,,,,,,,,"10,7"
48052,Bizkaia,Larrabetzu,Larrabetzu,2.023,,,,,,,,,2017-03-26,,"5,5"
48053,Bizkaia,Laukiz,Laukiz,1.129,,,,,,,,,,,"7,4"
48054,Bizkaia,Leioa,Leioa,30.685,,,,,,,,,2017,,"10,9"
48055,Bizkaia,Lemoa,Lemoa,3.512,,,,,,,,,,,"10,0"
48056,Bizkaia,Lemoiz,Lemoiz,1.182,,,,,,,,,2017-04-02,,"8,6"
48057,Bizkaia,Lekeitio,Lekeitio,7.305,,,,,,,,,,,"6,9"
48058,Bizkaia,Mallabia,Mallabia,1.211,,,,,,,,,,,"6,0"
48059,Bizkaia,Mañaria,Mañaria,507,,,,,,,,,,,"6,6"
48060,Bizkaia,Markina-Xemein,Markina-Xemein,4.982,,,,,,,,,,,"2,1"
48061,Bizkaia,Jatabe,Maruri-Jatabe,945,,,,,,,,,,,"6,5"
48062,Bizkaia,Mendata,Mendata,379,,,,,,,,,,,"5,7"
48063,Bizkaia,Mendexa,Mendexa,455,,,,,,,,,,,"6,2"
48064,Bizkaia,Meñaka,Meñaka,745,,,,,,,,,,,"14,8"
48065,Bizkaia,Ugao,Ugao-Miraballes,4.085,,,,,,,,,,,"4,9"
48066,Bizkaia,Morga,Morga,416,,,,,,,,,,,"3,3"
48067,Bizkaia,Muxika,Muxika,1.443,,,,,,,,,,,"3,2"
48068,Bizkaia,Mundaka,Mundaka,1.893,,,,,,,,,,,"10,9"
48069,Bizkaia,Mungia,Mungia,17.055,,,,,,,,,,,"7,3"
48070,Bizkaia,Aulesti,Aulesti,654,,,,,,,,,2017,,"3,0"
48071,Bizkaia,Muskiz,Muskiz,7.612,,,,,,,,,,,"14,8"
48072,Bizkaia,Otxandio,Otxandio,1.297,,,,,,,,,,,"10,2"
48073,Bizkaia,Ondarroa,Ondarroa,8.575,,,,,,,,,,,"6,1"
48074,Bizkaia,Urduña,Urduña / Orduña,4.216,,,,,,,,,,,"12,0"
48075,Bizkaia,Orozko,Orozko,2.610,,,,,,,,,2017,,"12,4"
48076,Bizkaia,Sukarrieta,Sukarrieta,355,,,,,,,,,,,"7,5"
48077,Bizkaia,Plentzia,Plentzia,4.344,,,,,,,,,,,"11,3"
48078,Bizkaia,Portugalete,Portugalete,47.117,,,,,,,,,,,"8,4"
48079,Bizkaia,Errigoiti,Errigoiti,520,,,,,,,,,,,"7,5"
48080,Bizkaia,Trapagaran,Valle de Trápaga-Trapagaran,12.129,,,,,,,,,,,"2,3"
48081,Bizkaia,Lezama,Lezama,2.432,,,,,,,,,,,"2,4"
48082,Bizkaia,Santurtzi,Santurtzi,46.651,,,,,,,,,,,"9,7"
48083,Bizkaia,Ortuella,Ortuella,8.410,,,,,,,,,,,"5,0"
48084,Bizkaia,Sestao,Sestao,28.288,,,,,,,,,,,"5,5"
48085,Bizkaia,Sopela,Sopelana,13.061,,,,,,,,,2017-04-02,,"7,3"
48086,Bizkaia,Sopuerta,Sopuerta,2.563,,,,,,,,,,,"5,7"
48087,Bizkaia,Turtzioz,Trucios-Turtzioz,525,,,,,,,,,,,"3,2"
48088,Bizkaia,Ubide,Ubide,180,,,,,,,,,,,"12,1"
48089,Bizkaia,Urduliz,Urdúliz,3.930,,,,,,,,,2017-04-02,,"7,6"
48090,Bizkaia,Balmaseda,Balmaseda,7.829,,,,,,,,,,,"10,4"
48091,Bizkaia,Atxondo,Atxondo,1.393,,,,,,,,,,,"4,4"
48092,Bizkaia,Bedia,Bedia,1.035,,,,,,,,,,,"5,9"
48093,Bizkaia,Areatza,Areatza,1.211,,,,,,,,,,,"3,0"
48094,Bizkaia,Igorre,Igorre,4.247,,,,,,,,,,,"6,0"
48095,Bizkaia,Zaldibar,Zaldibar,3.062,,,,,,,,,,,"12,1"
48096,Bizkaia,Zalla,Zalla,8.481,,,,,,,,,,,"3,5"
48097,Bizkaia,Zaratamo,Zaratamo,1.652,,,,,,,,,,,"5,4"
48901,Bizkaia,Derio,Derio,5.940,,,,,,,,,,,"4,3"
48902,Bizkaia,Erandio,Erandio,24.311,,,,,,,,,,,"10,5"
48903,Bizkaia,Loiu,Loiu,2.388,,,,,,,,,,,"8,3"
48904,Bizkaia,Sondika,Sondika,4.589,,,,,,,,,,,"5,5"
48905,Bizkaia,Zamudio,Zamudio,3.263,,,,,,,,,,,"19,6"
48906,Bizkaia,Forua,Forua,956,,,,,,,,,,,"9,6"
48907,Bizkaia,Kortezubi,Kortezubi,461,,,,,,,,,,,"7,5"
48908,Bizkaia,Murueta,Murueta,311,,,,,,,,,,,"8,2"
48909,Bizkaia,Nabarniz,Nabarniz,239,,,,,,,,,,,"5,1"
48910,Bizkaia,Iurreta,Iurreta,3.781,,,,,,,,,,,"4,8"
48911,Bizkaia,Ajangiz,Ajangiz,463,,,,,,,,,,,"15,3"
48912,Bizkaia,Alonsotegi,Alonsotegi,2.843,,,,,,,,,,,"5,0"
48913,Bizkaia,Zierbena,Zierbena,1.498,,,,,,,,,,,"0,0"
48914,Bizkaia,Arratzu,Arratzu,398,,,,,,,,,,,"2,1"
48915,Bizkaia,Ziortza-Bolibar,Ziortza-Bolibar,434,,,,,,,,,,,"6,3"
64008,Nafarroa Beherea,Ahatsa-Altzieta-Bazkazane,Ahaxe-Alciette-Bascassan,286,,,,,,,,,,,"4,5"
64009,Lapurdi,Ahetze,Ahetze,1.856,,,,,,,,,,,"3,1"
64010,Nafarroa Beherea,Aiziritze-Gamue-Zohazti,Aïcirits-Camou-Suhast,650,,,,,,,,,,,"4,9"
64011,Nafarroa Beherea,Aintzila,Aincille,135,,,,,,,,,,,"4,3"
64012,Zuberoa,Ainharbe,Aïnharp,145,,,,,,,,,,,"8,2"
64013,Nafarroa Beherea,Ainhize-Monjolose,Ainhice-Mongelos,163,,,,,,,,,,,"3,2"
64014,Lapurdi,Ainhoa,Aïnharp,673,,,,,,,,,,,"7,8"
64015,Zuberoa,Altzai-Altzabeheti-Zunharreta,Alçay-Alçabéhéty-Sunharette,231,,,,,,,,,,,"5,7"
64016,Nafarroa Beherea,Aldude,Les Aldudes,355,,,,,,,,,,,"2,1"
64017,Zuberoa,Aloze-Ziboze-Onizegaine,Alos-Sibas-Abense,293,,,,,,,,,,,"1,1"
64018,Nafarroa Beherea,Amendüze-Unaso,Amendeuix-Oneix,421,,,,,,,,,,,"8,7"
64019,Nafarroa Beherea,Amorotze-Zokotze,Amorots-Succos,231,,,,,,,,,,,"6,5"
64024,Lapurdi,Angelu,Anglet,38.581,,,,,,,,,,,"9,9"
64026,Nafarroa Beherea,Anhauze,Anhaux,319,,,,,,,,,,,"9,4"
64031,Nafarroa Beherea,Erango,Arancou,128,,,,,,,,,,,"4,7"
64034,Nafarroa Beherea,Arberatze-Zilhekoa,Arbérats-Sillègue,296,,,,,,,,,,,"6,4"
64035,Lapurdi,Arbona,Arbonne,2.056,,,,,,,,,,,"5,3"
64036,Nafarroa Beherea,Arboti-Zohota,Arbouet-Sussaute,300,,,,,,,,,,,"2,3"
64038,Lapurdi,Arrangoitze,Arcangues,3.107,,,,,,,,,,,"2,4"
64045,Nafarroa Beherea,Arhantsusi,Arhansus,73,,,,,,,,,,,"8,0"
64046,Nafarroa Beherea,Armendaritze,Armendarits,386,,,,,,,,,,,"4,9"
64047,Nafarroa Beherea,Arnegi,Arnéguy,241,,,,,,,,,,,"6,3"
64049,Zuberoa,Arüe-Ithorrotze-Olhaibi,Aroue-Ithorots-Olhaïby,247,,,,,,,,,,,"2,4"
64050,Zuberoa,Ürrüstoi-Larrabile,Arrast-Larrebieu,96,,,,,,,,,,,"6,3"
64051,Nafarroa Beherea,Arrueta-Sarrikota,Arraute-Charritte,381,,,,,,,,,,,"3,9"
64065,Lapurdi,Azkaine,Ascain,4.079,,,,,,,,,,,"6,7"
64066,Nafarroa Beherea,Azkarate,Ascarat,315,,,,,,,,,,,"11,6"
64081,Zuberoa,Altzürükü,Aussurucq,252,,,,,,,,,,,"3,4"
64086,Nafarroa Beherea,Aiherra,Ayherre,987,,,,,,,,,,,"4,6"
64092,Nafarroa Beherea,Banka,Banca,333,,,,,,,,,,,"8,1"
64093,Zuberoa,Barkoxe,Barcus,714,,,,,,,,,,,"9,7"
64094,Lapurdi,Bardoze,Bardos,1.621,,,,,,,,,,,"3,5"
64100,Lapurdi,Basusarri,Bassussarry,2.422,,,,,,,,,,,"7,0"
64102,Lapurdi,Baiona,Bayonne,44.331,,,,,,,,,,,"5,3"
